,Name of bill,Bill no.,Stage,Last activity,Select Committee
0,Climate Change Response (Late Payment Penalties and Industrial Allocation) Amendment Bill  Bill - government,207-1,SC,23 February 2023,Environment Committee
1,New Zealand Superannuation and Retirement Income (Controlling Interests) Amendment Bill  Bill - government,227-1,1,23 February 2023,
2,Road User Charges (Temporary RUC Reduction Scheme) Amendment Bill (No 2)  Bill - government,231-1,RA,22 February 2023,
3,Returning Offenders (Management and Information) Amendment Bill  Bill - government,232-1,RA,22 February 2023,
4,Natural Hazards Insurance Bill  Bill - government,113-3,RA,21 February 2023,Finance and Expenditure Committee
5,Fire and Emergency New Zealand (Levy) Amendment Bill  Bill - government,167-2,2,21 February 2023,Governance and Administration Committee
6,Hawke's Bay Agricultural and Pastoral Society Empowering Bill  Bill - private,181-1,2,15 February 2023,Governance and Administration Committee
7,Aotearoa New Zealand Public Media Bill  Bill - government,146-2,2,10 February 2023,"Economic Development, Science and Innovation Committee"
8,Criminal Proceeds (Recovery) Amendment Bill  Bill - government,163-2,2,21 December 2022,Justice Committee
9,Local Government Electoral Legislation Bill  Bill - government,151-2,2,20 December 2022,Governance and Administration Committee
10,Māori Fisheries Amendment Bill  Bill - government,222-1,1,20 December 2022,
11,Oranga Tamariki Amendment Bill  Bill - government,95-3,RA,19 December 2022,Social Services and Community Committee
12,Ngāti Kahungunu ki Wairarapa Tāmaki nui-a-Rua Claims Settlement Act 2022  Bill - government,100-2,RA,19 December 2022,Māori Affairs Committee
13,Smokefree Environments and Regulated Products (Smoked Tobacco) Amendment Bill  Bill - government,143-3,RA,19 December 2022,Health Committee
14,Electoral Amendment Bill  Bill - government,152-2,RA,19 December 2022,Justice Committee
15,Secondary Legislation Confirmation Bill  Bill - government,150-2,RA,19 December 2022,Regulations Review Committee
16,Pare Hauraki Collective Redress Bill  Bill - government,220-1,1,19 December 2022,
17,Family Court (Family Court Associates) Legislation Bill  Bill - government,148-2,2,16 December 2022,Justice Committee
18,Criminal Activity Intervention Legislation Bill  Bill - government,166-2,2,16 December 2022,Justice Committee
19,Natural and Built Environment Bill  Bill - government,186-1,SC,16 December 2022,Environment Committee
20,Spatial Planning Bill  Bill - government,187-1,SC,16 December 2022,Environment Committee
21,Ngāti Hei Claims Settlement Bill  Bill - government,218-1,1,16 December 2022,
22,Ngāti Paoa Claims Settlement Bill  Bill - government,215-1,1,16 December 2022,
23,Water Services Entities Bill  Bill - government,136-4,RA,15 December 2022,Finance and Expenditure Committee
24,Coroners Amendment Bill  Bill - government,157-2,2,15 December 2022,Justice Committee
25,Therapeutic Products Bill  Bill - government,204-1,SC,15 December 2022,Health Committee
26,Sale and Supply of Alcohol (Community Participation) Amendment Bill  Bill - government,205-1,SC,15 December 2022,Justice Committee
27,Human Rights (Incitement on Ground of Religious Belief) Amendment Bill  Bill - government,209-1,SC,15 December 2022,Justice Committee
28,Forests (Legal Harvest Assurance) Amendment Bill  Bill - government,118-2,2,14 December 2022,Primary Production Committee
29,New Plymouth District Council (Perpetual Investment Fund) Bill  Bill - local,200-1,SC,14 December 2022,Governance and Administration Committee
30,Water Services Economic Efficiency and Consumer Protection Bill  Bill - government,192-1,SC,14 December 2022,Finance and Expenditure Committee
31,Water Services Legislation Bill  Bill - government,210-1,SC,14 December 2022,Finance and Expenditure Committee
32,Te Rohe o Rongokako Joint Redress Bill  Bill - government,98-2,RA,13 December 2022,Māori Affairs Committee
